RULING,RULING_DATE,Found_HTS8,brief_description
NY N343597,11/26/24,4408.90.01,"Nontropical nonconiferous veneer sheets and sheets for plywood and other wood sawn/sliced/peeled, not over 6 mm thick"
NY N343631,11/26/24,0307.43.00,"Squid or cuttle fish, frozen"
NY N343631,11/26/24,0307.43.00,"Squid or cuttle fish, frozen"
NY N343631,11/26/24,0307.43.00,"Squid or cuttle fish, frozen"
NY N343631,11/26/24,0307.43.00,"Squid or cuttle fish, frozen"
NY N343631,11/26/24,0307.43.00,"Squid or cuttle fish, frozen"
NY N343631,11/26/24,0307.43.00,"Squid or cuttle fish, frozen"
NY N343781,11/26/24,6404.20.40,"Footwear w/outer soles of leather/comp. leath., n/o 50% by wt. rub./plast. or rub./plast./text. & 10%+ by wt. rub./plast., val. o/$2.50/pr"
NY N343781,11/26/24,6404.20.40,"Footwear w/outer soles of leather/comp. leath., n/o 50% by wt. rub./plast. or rub./plast./text. & 10%+ by wt. rub./plast., val. o/$2.50/pr"
NY N343781,11/26/24,6404.20.40,"Footwear w/outer soles of leather/comp. leath., n/o 50% by wt. rub./plast. or rub./plast./text. & 10%+ by wt. rub./plast., val. o/$2.50/pr"
NY N343781,11/26/24,6404.20.40,"Footwear w/outer soles of leather/comp. leath., n/o 50% by wt. rub./plast. or rub./plast./text. & 10%+ by wt. rub./plast., val. o/$2.50/pr"
NY N343781,11/26/24,6404.20.40,"Footwear w/outer soles of leather/comp. leath., n/o 50% by wt. rub./plast. or rub./plast./text. & 10%+ by wt. rub./plast., val. o/$2.50/pr"
NY N343781,11/26/24,6404.20.40,"Footwear w/outer soles of leather/comp. leath., n/o 50% by wt. rub./plast. or rub./plast./text. & 10%+ by wt. rub./plast., val. o/$2.50/pr"
NY N343781,11/26/24,6404.20.40,"Footwear w/outer soles of leather/comp. leath., n/o 50% by wt. rub./plast. or rub./plast./text. & 10%+ by wt. rub./plast., val. o/$2.50/pr"
NY N343876,11/26/24,9504.90.90,"Articles nesoi for arcade, table or parlor games & parts & access.; automatic bowling alley equipment & parts and accessories thereof"
NY N343876,11/26/24,9504.90.90,"Articles nesoi for arcade, table or parlor games & parts & access.; automatic bowling alley equipment & parts and accessories thereof"
NY N343876,11/26/24,9504.90.90,"Articles nesoi for arcade, table or parlor games & parts & access.; automatic bowling alley equipment & parts and accessories thereof"
NY N343876,11/26/24,9504.90.90,"Articles nesoi for arcade, table or parlor games & parts & access.; automatic bowling alley equipment & parts and accessories thereof"
NY N343876,11/26/24,9504.90.90,"Articles nesoi for arcade, table or parlor games & parts & access.; automatic bowling alley equipment & parts and accessories thereof"
NY N343876,11/26/24,9504.90.90,"Articles nesoi for arcade, table or parlor games & parts & access.; automatic bowling alley equipment & parts and accessories thereof"
NY N343898,11/26/24,2202.99.91,"Nonalcoholic beverages, nesoi, excluding fruit or vegetable juices of heading 2009"
NY N343898,11/26/24,2202.99.91,"Nonalcoholic beverages, nesoi, excluding fruit or vegetable juices of heading 2009"
NY N343898,11/26/24,2202.99.91,"Nonalcoholic beverages, nesoi, excluding fruit or vegetable juices of heading 2009"
NY N343898,11/26/24,2202.99.91,"Nonalcoholic beverages, nesoi, excluding fruit or vegetable juices of heading 2009"
NY N343907,11/26/24,6913.90.50,"Ceramic (o/than porcelain, china or eartherware) ornamental articles, nesoi"
NY N343907,11/26/24,6913.90.50,"Ceramic (o/than porcelain, china or eartherware) ornamental articles, nesoi"
NY N343907,11/26/24,6913.90.50,"Ceramic (o/than porcelain, china or eartherware) ornamental articles, nesoi"
NY N343907,11/26/24,6913.90.50,"Ceramic (o/than porcelain, china or eartherware) ornamental articles, nesoi"
NY N343907,11/26/24,6913.90.50,"Ceramic (o/than porcelain, china or eartherware) ornamental articles, nesoi"
NY N343907,11/26/24,6913.90.50,"Ceramic (o/than porcelain, china or eartherware) ornamental articles, nesoi"
NY N343907,11/26/24,6913.90.50,"Ceramic (o/than porcelain, china or eartherware) ornamental articles, nesoi"
NY N343907,11/26/24,6913.90.50,"Ceramic (o/than porcelain, china or eartherware) ornamental articles, nesoi"
NY N343907,11/26/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343907,11/26/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343907,11/26/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343907,11/26/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343907,11/26/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343907,11/26/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343907,11/26/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343930,11/26/24,8214.20.30,"Base metal instruments for manicure or pedicure purposes, and base metal parts thereof"
NY N343930,11/26/24,8214.20.30,"Base metal instruments for manicure or pedicure purposes, and base metal parts thereof"
NY N343930,11/26/24,8214.20.30,"Base metal instruments for manicure or pedicure purposes, and base metal parts thereof"
NY N343930,11/26/24,8214.20.30,"Base metal instruments for manicure or pedicure purposes, and base metal parts thereof"
NY N343930,11/26/24,8214.20.30,"Base metal instruments for manicure or pedicure purposes, and base metal parts thereof"
NY N343930,11/26/24,8214.20.30,"Base metal instruments for manicure or pedicure purposes, and base metal parts thereof"
NY N343930,11/26/24,8214.20.30,"Base metal instruments for manicure or pedicure purposes, and base metal parts thereof"
NY N343930,11/26/24,8214.20.30,"Base metal instruments for manicure or pedicure purposes, and base metal parts thereof"
NY N343930,11/26/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343930,11/26/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343930,11/26/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343930,11/26/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343930,11/26/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343930,11/26/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343930,11/26/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343930,11/26/24,9615.19.40,"Combs, not of hard rubber or plastics, valued over $4.50 per gross"
NY N343930,11/26/24,9615.19.40,"Combs, not of hard rubber or plastics, valued over $4.50 per gross"
NY N343930,11/26/24,9615.19.40,"Combs, not of hard rubber or plastics, valued over $4.50 per gross"
NY N343930,11/26/24,9615.19.40,"Combs, not of hard rubber or plastics, valued over $4.50 per gross"
NY N343930,11/26/24,9615.19.40,"Combs, not of hard rubber or plastics, valued over $4.50 per gross"
NY N343930,11/26/24,9615.19.40,"Combs, not of hard rubber or plastics, valued over $4.50 per gross"
NY N343930,11/26/24,9615.19.40,"Combs, not of hard rubber or plastics, valued over $4.50 per gross"
NY N343930,11/26/24,9615.19.40,"Combs, not of hard rubber or plastics, valued over $4.50 per gross"
NY N343930,11/26/24,9603.90.80,"Brooms & brushes nesoi, mops, hand-operated mechanical floor sweepers, squeegees and similar articles, nesoi"
NY N343930,11/26/24,9603.90.80,"Brooms & brushes nesoi, mops, hand-operated mechanical floor sweepers, squeegees and similar articles, nesoi"
NY N343930,11/26/24,9603.90.80,"Brooms & brushes nesoi, mops, hand-operated mechanical floor sweepers, squeegees and similar articles, nesoi"
NY N343930,11/26/24,9603.90.80,"Brooms & brushes nesoi, mops, hand-operated mechanical floor sweepers, squeegees and similar articles, nesoi"
NY N343930,11/26/24,9603.90.80,"Brooms & brushes nesoi, mops, hand-operated mechanical floor sweepers, squeegees and similar articles, nesoi"
NY N343930,11/26/24,9603.90.80,"Brooms & brushes nesoi, mops, hand-operated mechanical floor sweepers, squeegees and similar articles, nesoi"
NY N343930,11/26/24,9603.90.80,"Brooms & brushes nesoi, mops, hand-operated mechanical floor sweepers, squeegees and similar articles, nesoi"
NY N343930,11/26/24,9603.90.80,"Brooms & brushes nesoi, mops, hand-operated mechanical floor sweepers, squeegees and similar articles, nesoi"
NY N344025,11/26/24,8501.10.60,Electric motors of an output of 18.65 W or more but not exceeding 37.5 W
NY N344025,11/26/24,8501.10.60,Electric motors of an output of 18.65 W or more but not exceeding 37.5 W
NY N344025,11/26/24,8501.10.60,Electric motors of an output of 18.65 W or more but not exceeding 37.5 W
NY N344025,11/26/24,8501.10.60,Electric motors of an output of 18.65 W or more but not exceeding 37.5 W
NY N344025,11/26/24,8501.10.60,Electric motors of an output of 18.65 W or more but not exceeding 37.5 W
NY N344025,11/26/24,8501.10.60,Electric motors of an output of 18.65 W or more but not exceeding 37.5 W
NY N344025,11/26/24,8501.10.60,Electric motors of an output of 18.65 W or more but not exceeding 37.5 W
NY N344025,11/26/24,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N344025,11/26/24,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N344025,11/26/24,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N344025,11/26/24,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N344025,11/26/24,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N344025,11/26/24,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N344049,11/26/24,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N344049,11/26/24,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N344049,11/26/24,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N344049,11/26/24,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N344049,11/26/24,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N344049,11/26/24,9903.88.01,"Articles the product of China, as enumerated in note 20(b) to subchapter III of Chapter 99"
NY N344049,11/26/24,8536.69.40,"Connectors: coaxial, cylindrical multicontact, rack and panel, printed circuit, ribbon or flat cable, for a voltage not exceeding 1,000 V"
NY N344049,11/26/24,8536.69.40,"Connectors: coaxial, cylindrical multicontact, rack and panel, printed circuit, ribbon or flat cable, for a voltage not exceeding 1,000 V"
NY N344049,11/26/24,8536.69.40,"Connectors: coaxial, cylindrical multicontact, rack and panel, printed circuit, ribbon or flat cable, for a voltage not exceeding 1,000 V"
NY N344049,11/26/24,8536.69.40,"Connectors: coaxial, cylindrical multicontact, rack and panel, printed circuit, ribbon or flat cable, for a voltage not exceeding 1,000 V"
NY N344049,11/26/24,8536.69.40,"Connectors: coaxial, cylindrical multicontact, rack and panel, printed circuit, ribbon or flat cable, for a voltage not exceeding 1,000 V"
NY N344049,11/26/24,8536.69.40,"Connectors: coaxial, cylindrical multicontact, rack and panel, printed circuit, ribbon or flat cable, for a voltage not exceeding 1,000 V"
NY N339873,11/25/24,5906.10.00,Rubberized textile fabric adhesive tape of a width not exceeding 20 cm (other than fabric of heading 5902)
NY N339873,11/25/24,5906.10.00,Rubberized textile fabric adhesive tape of a width not exceeding 20 cm (other than fabric of heading 5902)
NY N339873,11/25/24,5906.10.00,Rubberized textile fabric adhesive tape of a width not exceeding 20 cm (other than fabric of heading 5902)
NY N339873,11/25/24,5906.10.00,Rubberized textile fabric adhesive tape of a width not exceeding 20 cm (other than fabric of heading 5902)
NY N339873,11/25/24,5906.10.00,Rubberized textile fabric adhesive tape of a width not exceeding 20 cm (other than fabric of heading 5902)
NY N339873,11/25/24,5906.10.00,Rubberized textile fabric adhesive tape of a width not exceeding 20 cm (other than fabric of heading 5902)
NY N339873,11/25/24,5906.10.00,Rubberized textile fabric adhesive tape of a width not exceeding 20 cm (other than fabric of heading 5902)
NY N339873,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N339873,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N339873,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N339873,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N339873,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N339873,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N343615,11/25/24,2843.90.00,"Inorganic or organic compounds of precious metals, excluding those of silver and gold; amalgams of precious metals"
NY N343615,11/25/24,2843.90.00,"Inorganic or organic compounds of precious metals, excluding those of silver and gold; amalgams of precious metals"
NY N343615,11/25/24,2843.90.00,"Inorganic or organic compounds of precious metals, excluding those of silver and gold; amalgams of precious metals"
NY N343615,11/25/24,2843.90.00,"Inorganic or organic compounds of precious metals, excluding those of silver and gold; amalgams of precious metals"
NY N343615,11/25/24,2843.90.00,"Inorganic or organic compounds of precious metals, excluding those of silver and gold; amalgams of precious metals"
NY N343615,11/25/24,2843.90.00,"Inorganic or organic compounds of precious metals, excluding those of silver and gold; amalgams of precious metals"
NY N343615,11/25/24,2843.90.00,"Inorganic or organic compounds of precious metals, excluding those of silver and gold; amalgams of precious metals"
NY N343679,11/25/24,3004.90.92,"Medicaments nesoi, in dosage form and packed for retail"
NY N343679,11/25/24,3004.90.92,"Medicaments nesoi, in dosage form and packed for retail"
NY N343679,11/25/24,3004.90.92,"Medicaments nesoi, in dosage form and packed for retail"
NY N343679,11/25/24,3004.90.92,"Medicaments nesoi, in dosage form and packed for retail"
NY N343679,11/25/24,3004.90.92,"Medicaments nesoi, in dosage form and packed for retail"
NY N343679,11/25/24,3004.90.92,"Medicaments nesoi, in dosage form and packed for retail"
NY N343725,11/25/24,2937.19.00,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues, nesoi"
NY N343725,11/25/24,2937.19.00,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues, nesoi"
NY N343725,11/25/24,2937.19.00,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues, nesoi"
NY N343725,11/25/24,2937.19.00,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues, nesoi"
NY N343725,11/25/24,2937.19.00,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues, nesoi"
NY N343725,11/25/24,2937.19.00,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues, nesoi"
NY N343776,11/25/24,8215.99.24,"Base metal table forks and barbecue forks, with wood handles"
NY N343776,11/25/24,8215.99.24,"Base metal table forks and barbecue forks, with wood handles"
NY N343776,11/25/24,8215.99.24,"Base metal table forks and barbecue forks, with wood handles"
NY N343776,11/25/24,8215.99.24,"Base metal table forks and barbecue forks, with wood handles"
NY N343776,11/25/24,8215.99.24,"Base metal table forks and barbecue forks, with wood handles"
NY N343776,11/25/24,8215.99.24,"Base metal table forks and barbecue forks, with wood handles"
NY N343776,11/25/24,8215.99.24,"Base metal table forks and barbecue forks, with wood handles"
NY N343776,11/25/24,8215.99.24,"Base metal table forks and barbecue forks, with wood handles"
NY N343776,11/25/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343776,11/25/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343776,11/25/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343776,11/25/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343776,11/25/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343776,11/25/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343776,11/25/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343782,11/25/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343782,11/25/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343782,11/25/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343782,11/25/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343782,11/25/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343782,11/25/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343782,11/25/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343782,11/25/24,7117.19.90,"Imitation jewelry (o/than toy jewelry & rope, curb, cable, chain, etc.), of base metal (wheth. or n/plated w/prec.metal), nesoi"
NY N343782,11/25/24,7117.19.90,"Imitation jewelry (o/than toy jewelry & rope, curb, cable, chain, etc.), of base metal (wheth. or n/plated w/prec.metal), nesoi"
NY N343782,11/25/24,7117.19.90,"Imitation jewelry (o/than toy jewelry & rope, curb, cable, chain, etc.), of base metal (wheth. or n/plated w/prec.metal), nesoi"
NY N343782,11/25/24,7117.19.90,"Imitation jewelry (o/than toy jewelry & rope, curb, cable, chain, etc.), of base metal (wheth. or n/plated w/prec.metal), nesoi"
NY N343782,11/25/24,7117.19.90,"Imitation jewelry (o/than toy jewelry & rope, curb, cable, chain, etc.), of base metal (wheth. or n/plated w/prec.metal), nesoi"
NY N343782,11/25/24,7117.19.90,"Imitation jewelry (o/than toy jewelry & rope, curb, cable, chain, etc.), of base metal (wheth. or n/plated w/prec.metal), nesoi"
NY N343782,11/25/24,7117.19.90,"Imitation jewelry (o/than toy jewelry & rope, curb, cable, chain, etc.), of base metal (wheth. or n/plated w/prec.metal), nesoi"
NY N343922,11/25/24,7616.99.51,"Aluminum, articles, nesoi"
NY N343922,11/25/24,7616.99.51,"Aluminum, articles, nesoi"
NY N343922,11/25/24,7616.99.51,"Aluminum, articles, nesoi"
NY N343922,11/25/24,7616.99.51,"Aluminum, articles, nesoi"
NY N343922,11/25/24,7616.99.51,"Aluminum, articles, nesoi"
NY N343922,11/25/24,7616.99.51,"Aluminum, articles, nesoi"
NY N343922,11/25/24,7616.99.51,"Aluminum, articles, nesoi"
NY N343922,11/25/24,7616.99.51,"Aluminum, articles, nesoi"
NY N343922,11/25/24,9803.88.03,
NY N343951,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N343951,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N343951,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N343951,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N343951,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N343951,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N343951,11/25/24,2828.10.00,Commercial calcium hypochlorite and other calcium hypochlorites
NY N343951,11/25/24,2828.10.00,Commercial calcium hypochlorite and other calcium hypochlorites
NY N343951,11/25/24,2828.10.00,Commercial calcium hypochlorite and other calcium hypochlorites
NY N343951,11/25/24,2828.10.00,Commercial calcium hypochlorite and other calcium hypochlorites
NY N343951,11/25/24,2828.10.00,Commercial calcium hypochlorite and other calcium hypochlorites
NY N343951,11/25/24,2828.10.00,Commercial calcium hypochlorite and other calcium hypochlorites
NY N343951,11/25/24,2828.10.00,Commercial calcium hypochlorite and other calcium hypochlorites
NY N343965,11/25/24,9403.91.00,"Parts of furniture (o/than seats or o/than of 9402), of wood"
NY N343965,11/25/24,9403.91.00,"Parts of furniture (o/than seats or o/than of 9402), of wood"
NY N343965,11/25/24,9403.91.00,"Parts of furniture (o/than seats or o/than of 9402), of wood"
NY N343965,11/25/24,9403.91.00,"Parts of furniture (o/than seats or o/than of 9402), of wood"
NY N343967,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N343967,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N343967,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N343967,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N343967,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N343967,11/25/24,9903.88.03,"Articles the product of China, as enumerated in note 20(f) to subchapter III of Chapter 99"
NY N343967,11/25/24,9403.99.90,Parts of furniture (o/than seats or o/than of 9402) nesoi
NY N343967,11/25/24,9403.99.90,Parts of furniture (o/than seats or o/than of 9402) nesoi
NY N343967,11/25/24,9403.99.90,Parts of furniture (o/than seats or o/than of 9402) nesoi
NY N343967,11/25/24,9403.99.90,Parts of furniture (o/than seats or o/than of 9402) nesoi
NY N344118,11/25/24,3812.39.90,"Antioxiding prep & oth compound stabilizers for rubber or plastics, nesoi"
NY N344118,11/25/24,3812.39.90,"Antioxiding prep & oth compound stabilizers for rubber or plastics, nesoi"
NY N344118,11/25/24,3812.39.90,"Antioxiding prep & oth compound stabilizers for rubber or plastics, nesoi"
NY N344118,11/25/24,3812.39.90,"Antioxiding prep & oth compound stabilizers for rubber or plastics, nesoi"
NY N344118,11/25/24,3812.39.90,"Antioxiding prep & oth compound stabilizers for rubber or plastics, nesoi"
NY N344118,11/25/24,3812.39.90,"Antioxiding prep & oth compound stabilizers for rubber or plastics, nesoi"
NY N344118,11/25/24,3812.39.90,"Antioxiding prep & oth compound stabilizers for rubber or plastics, nesoi"
NY N344125,11/25/24,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N344125,11/25/24,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N344125,11/25/24,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N344125,11/25/24,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N344125,11/25/24,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N344125,11/25/24,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N344144,11/25/24,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N344144,11/25/24,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N344144,11/25/24,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N344144,11/25/24,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N344144,11/25/24,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N344144,11/25/24,9505.90.60,"Festive, carnival or other entertainment articles nesoi and parts & accessories thereof nesoi"
NY N343587,11/22/24,6110.30.30,"Sweaters, pullovers and similar articles, knitted or crocheted, of manmade fibers, nesoi"
NY N343587,11/22/24,6110.30.30,"Sweaters, pullovers and similar articles, knitted or crocheted, of manmade fibers, nesoi"
NY N343587,11/22/24,6110.30.30,"Sweaters, pullovers and similar articles, knitted or crocheted, of manmade fibers, nesoi"
NY N343587,11/22/24,6110.30.30,"Sweaters, pullovers and similar articles, knitted or crocheted, of manmade fibers, nesoi"
NY N343587,11/22/24,6110.30.30,"Sweaters, pullovers and similar articles, knitted or crocheted, of manmade fibers, nesoi"
NY N343587,11/22/24,6110.30.30,"Sweaters, pullovers and similar articles, knitted or crocheted, of manmade fibers, nesoi"
NY N343587,11/22/24,6110.30.30,"Sweaters, pullovers and similar articles, knitted or crocheted, of manmade fibers, nesoi"
NY N343587,11/22/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343587,11/22/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343587,11/22/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343587,11/22/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343587,11/22/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343587,11/22/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343587,11/22/24,9903.88.15,"Articles the product of China, as enumerated in note 20(s) to subchapter III of Chapter 99"
NY N343726,11/22/24,8505.11.00,"Permanent magnets and articles intended to become permanent magnets after magnetization, of metal"
NY N343726,11/22/24,8505.11.00,"Permanent magnets and articles intended to become permanent magnets after magnetization, of metal"
NY N343726,11/22/24,8505.11.00,"Permanent magnets and articles intended to become permanent magnets after magnetization, of metal"
NY N343726,11/22/24,8505.11.00,"Permanent magnets and articles intended to become permanent magnets after magnetization, of metal"
NY N343726,11/22/24,8505.11.00,"Permanent magnets and articles intended to become permanent magnets after magnetization, of metal"
NY N343726,11/22/24,8505.11.00,"Permanent magnets and articles intended to become permanent magnets after magnetization, of metal"
NY N343726,11/22/24,8505.11.00,"Permanent magnets and articles intended to become permanent magnets after magnetization, of metal"
NY N343906,11/22/24,6912.00.50,"Ceramic (o/than porcelain or china) household articles and toilet articles (o/than table and kitchenware), nesoi"
NY N343906,11/22/24,6912.00.50,"Ceramic (o/than porcelain or china) household articles and toilet articles (o/than table and kitchenware), nesoi"
NY N343906,11/22/24,6912.00.50,"Ceramic (o/than porcelain or china) household articles and toilet articles (o/than table and kitchenware), nesoi"
NY N343906,11/22/24,6912.00.50,"Ceramic (o/than porcelain or china) household articles and toilet articles (o/than table and kitchenware), nesoi"
NY N343906,11/22/24,6912.00.50,"Ceramic (o/than porcelain or china) household articles and toilet articles (o/than table and kitchenware), nesoi"
NY N343906,11/22/24,6912.00.50,"Ceramic (o/than porcelain or china) household articles and toilet articles (o/than table and kitchenware), nesoi"
NY N343906,11/22/24,6912.00.50,"Ceramic (o/than porcelain or china) household articles and toilet articles (o/than table and kitchenware), nesoi"
NY N343906,11/22/24,6912.00.50,"Ceramic (o/than porcelain or china) household articles and toilet articles (o/than table and kitchenware), nesoi"
NY N344034,11/22/24,3824.99.39,"Mixtures of two or more inorganic compounds, nesoi"
NY N344034,11/22/24,3824.99.39,"Mixtures of two or more inorganic compounds, nesoi"
NY N344034,11/22/24,3824.99.39,"Mixtures of two or more inorganic compounds, nesoi"
NY N344034,11/22/24,3824.99.39,"Mixtures of two or more inorganic compounds, nesoi"
NY N344034,11/22/24,3824.99.39,"Mixtures of two or more inorganic compounds, nesoi"
NY N344034,11/22/24,3824.99.39,"Mixtures of two or more inorganic compounds, nesoi"
NY N344100,11/22/24,6001.92.00,Knitted or crocheted pile fabrics (other than long pile or looped pile) of man-made fibers
NY N344100,11/22/24,6001.92.00,Knitted or crocheted pile fabrics (other than long pile or looped pile) of man-made fibers
NY N344100,11/22/24,6001.92.00,Knitted or crocheted pile fabrics (other than long pile or looped pile) of man-made fibers
NY N344100,11/22/24,6001.92.00,Knitted or crocheted pile fabrics (other than long pile or looped pile) of man-made fibers
